Dispensary Name	License Name	License	City	Times on List
Green Leaf Cannabis & Wellness	BHOLECBD INC.	OCM-CAURD-25-000232	Newburgh	2
Happy Munkey	Vladimir Bautista, LLC	OCM-CAURD-24-000176	New York	2
IGNYTE	IGNYTE	OCM-RETL-24-000077	Whitestone	2
Just a Little Higher	Just a Little Higher	OCM-RETL-24-000068	Queens	2
Just A Little Higher Murray Hill	A Little Place to Relax LLC	OCM-CAURD-24-000156	New York	2
Just A Little Higher Troy	Humble County LLC	OCM-CAURD-23-000032	Troy	2
Just A Little Higher Upper West Side	Dagga LLC	OCM-CAURD-24-000136	New York	2
PRYZM Dispensary	SLG-DB LLC	OCM-CAURD-24-000184	New York	2
Puro Vita	Puro vita enterprises inc.	OCM-CAURD-24-000073	Brooklyn	2
Terp Bros	Terp Bros	OCM-CAURD-23-000020	Queens	2
The Emerald Dispensary	TEDG LLC	OCM-CAURD-24-000057	Brooklyn	2
The Flavor Factory	The Flavor Factory	OCM-RETL-25-000459	Niagara Falls	2
The Travel Agency Downtown Brooklyn	GMDSS	OCM-CAURD-24-000091	Brooklyn	2
The Travel Agency Fifth Avenue	Terrapin Greens LLC	OCM-CAURD-24-000125	New York	2
The Travel Agency SoHo	TANGO HOTEL CHARLIE VENTURES LLC	OCM-RETL-25-000355	New York	2
The Travel Agency Union Square	The Doe Store LLC	OCM-CAURD-23-000003	New York	2
Toke Lane	Erie County Cannabis LLC	OCM-RETL-24-000132	Buffalo	2
Twisted Vibration	Twisted Vibration LLC	OCM-CAURD-24-000191	Brooklyn	2
Victory Dispensary	Victory Dispensary	OCM-CAURD-25-000324	Bronx	2
Weedly NYC	Weedly NYC	OCM-RETL-25-000324	Brooklyn	2
420 Bliss / Just A Little Higher			OCM-CAURD-23-000032		1
Big City Flavors	Big City Flavors	OCM-CAURD-25-000263	South Richmond Hill	1
Cannabis Scentral				Astoria	1
Cannadreams	CANNADREAMS INC.	OCM-CAURD-24-000114	New York	1
Carnegie Hill Cannabis Co.	Carnegie Hill Cannabis Co.	OCM-RETL-24-000021	New York	1
Carry-On Cannabis	Carry-On Cannabis NY LLC	OCM-RETL-24-000219	Niagara Falls	1
Chelsea Cannabis Co.	Actualize Dispensary Inc	OCM-CAURD-25-000243	New York	1
Crush Dispensary	Big Bro Consulting LLC	OCM-CAURD-24-000223	Albany	1
Dream Daze	Dream Daze LLC	OCM-RETL-24-000156	Depew	1
Flynnstoned Corporation	FLYNNSTONED CORPORATION	OCM-CAURD-23-000010	Syracuse	1
FlynnStoned West Village	FlynnStoned West Village	OCM-CAURD-26-000334	New York	1
